Date : 2021-10-09 21:36:08
Directory : c:\Project\CraneEngine
Total : 2978 files,  556706 codes, 110724 comments, 95862 blanks, all 763292 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| shaders\build\CMakeFiles                                                                                                   |          9 |      1,494 |        124 |        326 |      1,944 |
| shaders\build\CMakeFiles\3.21.3                                                                                            |          9 |      1,494 |        124 |        326 |      1,944 |
| shaders\build\CMakeFiles\3.21.3\CompilerIdC                                                                                |          2 |        660 |         61 |        143 |        864 |
| shaders\build\CMakeFiles\3.21.3\CompilerIdCXX                                                                              |          2 |        648 |         63 |        141 |        852 |
| shaders\ocean                                                                                                              |          6 |        336 |          8 |         78 |        422 |
| third_party                                                                                                                |      2,810 |    536,031 |    109,261 |     92,131 |    737,423 |
| third_party\SPIRV-Reflect                                                                                                  |        121 |     37,052 |      2,616 |      1,591 |     41,259 |
| third_party\SPIRV-Reflect\common                                                                                           |          2 |      1,447 |        226 |        150 |      1,823 |
| third_party\SPIRV-Reflect\examples                                                                                         |         10 |      1,210 |        377 |        161 |      1,748 |
| third_party\SPIRV-Reflect\include                                                                                          |          1 |      2,090 |         47 |         56 |      2,193 |
| third_party\SPIRV-Reflect\include\spirv                                                                                    |          1 |      2,090 |         47 |         56 |      2,193 |
| third_party\SPIRV-Reflect\include\spirv\unified1                                                                           |          1 |      2,090 |         47 |         56 |      2,193 |
| third_party\SPIRV-Reflect\tests                                                                                            |        100 |     26,765 |        659 |        456 |     27,880 |
| third_party\SPIRV-Reflect\tests\cbuffer_unused                                                                             |          2 |      3,559 |          1 |         35 |      3,595 |
| third_party\SPIRV-Reflect\tests\cpp                                                                                        |          1 |          7 |          0 |          1 |          8 |
| third_party\SPIRV-Reflect\tests\cpp\noncopyable                                                                            |          1 |          7 |          0 |          1 |          8 |
| third_party\SPIRV-Reflect\tests\glsl                                                                                       |         12 |      1,649 |          2 |         24 |      1,675 |
| third_party\SPIRV-Reflect\tests\hlsl                                                                                       |         22 |     13,993 |         21 |         72 |     14,086 |
| third_party\SPIRV-Reflect\tests\issues                                                                                     |          7 |        926 |         30 |         23 |        979 |
| third_party\SPIRV-Reflect\tests\issues\68                                                                                  |          2 |         95 |         24 |          9 |        128 |
| third_party\SPIRV-Reflect\tests\issues\77                                                                                  |          5 |        831 |          6 |         14 |        851 |
| third_party\SPIRV-Reflect\tests\issues\77\hlsl                                                                             |          5 |        831 |          6 |         14 |        851 |
| third_party\SPIRV-Reflect\tests\multi_entrypoint                                                                           |          4 |        523 |          8 |         14 |        545 |
| third_party\SPIRV-Reflect\tests\raytrace                                                                                   |         47 |      4,831 |        466 |        190 |      5,487 |
| third_party\SPIRV-Reflect\tests\spirv15                                                                                    |          2 |        193 |          0 |          2 |        195 |
| third_party\SPIRV-Reflect\util                                                                                             |          4 |        175 |         27 |         28 |        230 |
| third_party\SPIRV-Reflect\util\stripper                                                                                    |          4 |        175 |         27 |         28 |        230 |
| third_party\VulkanMemoryAllocator                                                                                          |        218 |     46,353 |      6,450 |      5,932 |     58,735 |
| third_party\VulkanMemoryAllocator\docs                                                                                     |        191 |     18,585 |        588 |      1,500 |     20,673 |
| third_party\VulkanMemoryAllocator\docs\html                                                                                |        190 |     18,321 |        588 |      1,420 |     20,329 |
| third_party\VulkanMemoryAllocator\docs\html\search                                                                         |        110 |      3,644 |         68 |        224 |      3,936 |
| third_party\VulkanMemoryAllocator\include                                                                                  |          1 |     13,263 |      4,537 |      2,063 |     19,863 |
| third_party\VulkanMemoryAllocator\src                                                                                      |         20 |     13,889 |      1,281 |      2,244 |     17,414 |
| third_party\VulkanMemoryAllocator\src\Shaders                                                                              |          4 |         50 |         63 |         18 |        131 |
| third_party\VulkanMemoryAllocator\src\VmaReplay                                                                            |          7 |      5,475 |        480 |        614 |      6,569 |
| third_party\VulkanMemoryAllocator\tools                                                                                    |          3 |        361 |         44 |         46 |        451 |
| third_party\VulkanMemoryAllocator\tools\VmaDumpVis                                                                         |          3 |        361 |         44 |         46 |        451 |
| third_party\eigen                                                                                                          |      1,510 |    240,837 |     48,713 |     45,504 |    335,054 |
| third_party\eigen\.gitlab                                                                                                  |          3 |         30 |         53 |         22 |        105 |
| third_party\eigen\.gitlab\issue_templates                                                                                  |          2 |         27 |         33 |         18 |         78 |
| third_party\eigen\.gitlab\merge_request_templates                                                                          |          1 |          3 |         20 |          4 |         27 |
| third_party\eigen\Eigen                                                                                                    |        307 |    104,184 |     25,453 |     17,633 |    147,270 |
| third_party\eigen\Eigen\src                                                                                                |        307 |    104,184 |     25,453 |     17,633 |    147,270 |
| third_party\eigen\Eigen\src\Cholesky                                                                                       |          3 |        813 |        362 |        173 |      1,348 |
| third_party\eigen\Eigen\src\CholmodSupport                                                                                 |          1 |        410 |        177 |         96 |        683 |
| third_party\eigen\Eigen\src\Core                                                                                           |        165 |     57,559 |     12,141 |     10,537 |     80,237 |
| third_party\eigen\Eigen\src\Core\arch                                                                                      |         49 |     26,950 |      2,730 |      4,459 |     34,139 |
| third_party\eigen\Eigen\src\Core\arch\AVX                                                                                  |          4 |      1,804 |        154 |        329 |      2,287 |
| third_party\eigen\Eigen\src\Core\arch\AVX512                                                                               |          4 |      2,571 |        157 |        412 |      3,140 |
| third_party\eigen\Eigen\src\Core\arch\AltiVec                                                                              |          6 |      5,817 |        219 |        960 |      6,996 |
| third_party\eigen\Eigen\src\Core\arch\CUDA                                                                                 |          1 |        202 |         33 |         24 |        259 |
| third_party\eigen\Eigen\src\Core\arch\Default                                                                              |          7 |      2,319 |        982 |        419 |      3,720 |
| third_party\eigen\Eigen\src\Core\arch\GPU                                                                                  |          3 |      1,587 |         49 |        235 |      1,871 |
| third_party\eigen\Eigen\src\Core\arch\HIP                                                                                  |          1 |         12 |          6 |          6 |         24 |
| third_party\eigen\Eigen\src\Core\arch\HIP\hcc                                                                              |          1 |         12 |          6 |          6 |         24 |
| third_party\eigen\Eigen\src\Core\arch\MSA                                                                                  |          3 |      1,668 |        162 |        438 |      2,268 |
| third_party\eigen\Eigen\src\Core\arch\NEON                                                                                 |          5 |      5,898 |        278 |        658 |      6,834 |
| third_party\eigen\Eigen\src\Core\arch\SSE                                                                                  |          4 |      1,699 |        201 |        293 |      2,193 |
| third_party\eigen\Eigen\src\Core\arch\SVE                                                                                  |          3 |        661 |         52 |        135 |        848 |
| third_party\eigen\Eigen\src\Core\arch\SYCL                                                                                 |          5 |      1,373 |        338 |        276 |      1,987 |
| third_party\eigen\Eigen\src\Core\arch\ZVector                                                                              |          3 |      1,339 |         99 |        274 |      1,712 |
| third_party\eigen\Eigen\src\Core\functors                                                                                  |          6 |      1,549 |        466 |        245 |      2,260 |
| third_party\eigen\Eigen\src\Core\products                                                                                  |         21 |      6,021 |      1,063 |      1,011 |      8,095 |
| third_party\eigen\Eigen\src\Core\util                                                                                      |         17 |      4,855 |      1,710 |      1,027 |      7,592 |
| third_party\eigen\Eigen\src\Eigenvalues                                                                                    |         14 |      2,830 |      2,176 |        549 |      5,555 |
| third_party\eigen\Eigen\src\Geometry                                                                                       |         15 |      3,244 |      1,687 |        743 |      5,674 |
| third_party\eigen\Eigen\src\Geometry\arch                                                                                  |          1 |        124 |         20 |         25 |        169 |
| third_party\eigen\Eigen\src\Householder                                                                                    |          3 |        471 |        280 |         83 |        834 |
| third_party\eigen\Eigen\src\IterativeLinearSolvers                                                                         |          8 |      1,387 |        576 |        318 |      2,281 |
| third_party\eigen\Eigen\src\Jacobi                                                                                         |          1 |        344 |         89 |         51 |        484 |
| third_party\eigen\Eigen\src\KLUSupport                                                                                     |          1 |        237 |         60 |         62 |        359 |
| third_party\eigen\Eigen\src\LU                                                                                             |          6 |      1,452 |        725 |        313 |      2,490 |
| third_party\eigen\Eigen\src\LU\arch                                                                                        |          1 |        231 |         65 |         56 |        352 |
| third_party\eigen\Eigen\src\MetisSupport                                                                                   |          1 |         94 |         31 |         13 |        138 |
| third_party\eigen\Eigen\src\OrderingMethods                                                                                |          3 |      1,529 |        575 |        350 |      2,454 |
| third_party\eigen\Eigen\src\PaStiXSupport                                                                                  |          1 |        440 |        151 |         88 |        679 |
| third_party\eigen\Eigen\src\PardisoSupport                                                                                 |          1 |        354 |        121 |         71 |        546 |
| third_party\eigen\Eigen\src\QR                                                                                             |          6 |      1,375 |        918 |        334 |      2,627 |
| third_party\eigen\Eigen\src\SPQRSupport                                                                                    |          1 |        239 |         69 |         28 |        336 |
| third_party\eigen\Eigen\src\SVD                                                                                            |          5 |      2,106 |        610 |        348 |      3,064 |
| third_party\eigen\Eigen\src\SparseCholesky                                                                                 |          2 |        593 |        169 |        111 |        873 |
| third_party\eigen\Eigen\src\SparseCore                                                                                     |         30 |      6,761 |      1,341 |      1,417 |      9,519 |
| third_party\eigen\Eigen\src\SparseLU                                                                                       |         17 |      2,116 |      1,089 |        432 |      3,637 |
| third_party\eigen\Eigen\src\SparseQR                                                                                       |          1 |        479 |        195 |         85 |        759 |
| third_party\eigen\Eigen\src\StlSupport                                                                                     |          4 |        323 |         66 |         52 |        441 |
| third_party\eigen\Eigen\src\SuperLUSupport                                                                                 |          1 |        750 |        117 |        159 |      1,026 |
| third_party\eigen\Eigen\src\UmfPackSupport                                                                                 |          1 |        439 |         94 |        110 |        643 |
| third_party\eigen\Eigen\src\misc                                                                                           |          7 |     16,224 |        103 |        797 |     17,124 |
| third_party\eigen\Eigen\src\plugins                                                                                        |          9 |      1,615 |      1,531 |        313 |      3,459 |
| third_party\eigen\bench                                                                                                    |        179 |     14,521 |      3,042 |      3,860 |     21,423 |
| third_party\eigen\bench\btl                                                                                                |        102 |      6,193 |      1,995 |      2,332 |     10,520 |
| third_party\eigen\bench\btl\actions                                                                                        |         21 |      1,552 |        606 |        758 |      2,916 |
| third_party\eigen\bench\btl\cmake                                                                                          |         12 |        353 |          0 |        100 |        453 |
| third_party\eigen\bench\btl\data                                                                                           |          8 |        532 |         87 |        229 |        848 |
| third_party\eigen\bench\btl\generic_bench                                                                                  |         21 |      1,153 |        527 |        462 |      2,142 |
| third_party\eigen\bench\btl\generic_bench\init                                                                             |          3 |         67 |         69 |         22 |        158 |
| third_party\eigen\bench\btl\generic_bench\static                                                                           |          3 |         82 |         66 |         58 |        206 |
| third_party\eigen\bench\btl\generic_bench\timers                                                                           |          8 |        549 |        216 |        254 |      1,019 |
| third_party\eigen\bench\btl\generic_bench\utils                                                                            |          4 |        139 |         81 |         73 |        293 |
| third_party\eigen\bench\btl\libs                                                                                           |         40 |      2,603 |        775 |        783 |      4,161 |
| third_party\eigen\bench\btl\libs\BLAS                                                                                      |          5 |        840 |         49 |        167 |      1,056 |
| third_party\eigen\bench\btl\libs\STL                                                                                       |          2 |        205 |         38 |         45 |        288 |
| third_party\eigen\bench\btl\libs\blaze                                                                                     |          2 |         97 |         47 |         39 |        183 |
| third_party\eigen\bench\btl\libs\blitz                                                                                     |          5 |        307 |        127 |        105 |        539 |
| third_party\eigen\bench\btl\libs\eigen2                                                                                    |          6 |        184 |        114 |         71 |        369 |
| third_party\eigen\bench\btl\libs\eigen3                                                                                    |          6 |        245 |        117 |         82 |        444 |
| third_party\eigen\bench\btl\libs\gmm                                                                                       |          3 |        229 |         76 |         85 |        390 |
| third_party\eigen\bench\btl\libs\mtl4                                                                                      |          3 |        211 |         94 |         80 |        385 |
| third_party\eigen\bench\btl\libs\tensors                                                                                   |          4 |        105 |         32 |         37 |        174 |
| third_party\eigen\bench\btl\libs\tvmet                                                                                     |          2 |         76 |         38 |         32 |        146 |
| third_party\eigen\bench\btl\libs\ublas                                                                                     |          2 |        104 |         43 |         40 |        187 |
| third_party\eigen\bench\perf_monitoring                                                                                    |         20 |        650 |         51 |        154 |        855 |
| third_party\eigen\bench\perf_monitoring\resources                                                                          |          6 |        121 |          1 |         16 |        138 |
| third_party\eigen\bench\spbench                                                                                            |          6 |        773 |        127 |        109 |      1,009 |
| third_party\eigen\bench\tensors                                                                                            |         11 |      1,424 |        136 |        195 |      1,755 |
| third_party\eigen\blas                                                                                                     |         41 |      5,834 |      2,645 |      1,282 |      9,761 |
| third_party\eigen\blas\f2c                                                                                                 |         21 |      3,764 |      2,089 |        791 |      6,644 |
| third_party\eigen\blas\testing                                                                                             |          1 |         40 |          1 |          5 |         46 |
| third_party\eigen\ci                                                                                                       |          5 |        778 |         23 |         91 |        892 |
| third_party\eigen\cmake                                                                                                    |         36 |      6,381 |          0 |        859 |      7,240 |
| third_party\eigen\demos                                                                                                    |         15 |      1,734 |        230 |        392 |      2,356 |
| third_party\eigen\demos\mandelbrot                                                                                         |          2 |        226 |         25 |         35 |        286 |
| third_party\eigen\demos\mix_eigen_and_c                                                                                    |          3 |        215 |         43 |         66 |        324 |
| third_party\eigen\demos\opengl                                                                                             |         10 |      1,293 |        162 |        291 |      1,746 |
| third_party\eigen\doc                                                                                                      |        372 |      3,365 |        112 |        781 |      4,258 |
| third_party\eigen\doc\examples                                                                                             |         70 |      1,273 |         48 |        285 |      1,606 |
| third_party\eigen\doc\snippets                                                                                             |        295 |      1,559 |         17 |        370 |      1,946 |
| third_party\eigen\doc\special_examples                                                                                     |          3 |         75 |          3 |         21 |         99 |
| third_party\eigen\failtest                                                                                                 |         55 |        629 |          1 |        240 |        870 |
| third_party\eigen\lapack                                                                                                   |          9 |        308 |         87 |         76 |        471 |
| third_party\eigen\scripts                                                                                                  |          4 |        237 |         50 |         53 |        340 |
| third_party\eigen\test                                                                                                     |        166 |     28,500 |      3,039 |      5,753 |     37,292 |
| third_party\eigen\unsupported                                                                                              |        315 |     74,305 |     13,970 |     14,453 |    102,728 |
| third_party\eigen\unsupported\Eigen                                                                                        |        169 |     46,080 |     11,040 |      8,745 |     65,865 |
| third_party\eigen\unsupported\Eigen\CXX11                                                                                  |         88 |     30,425 |      5,016 |      5,483 |     40,924 |
| third_party\eigen\unsupported\Eigen\CXX11\src                                                                              |         88 |     30,425 |      5,016 |      5,483 |     40,924 |
| third_party\eigen\unsupported\Eigen\CXX11\src\Tensor                                                                       |         71 |     27,826 |      4,058 |      4,973 |     36,857 |
| third_party\eigen\unsupported\Eigen\CXX11\src\TensorSymmetry                                                               |          4 |        967 |        408 |        165 |      1,540 |
| third_party\eigen\unsupported\Eigen\CXX11\src\TensorSymmetry\util                                                          |          1 |        371 |        250 |         49 |        670 |
| third_party\eigen\unsupported\Eigen\CXX11\src\ThreadPool                                                                   |          9 |        910 |        402 |        167 |      1,479 |
| third_party\eigen\unsupported\Eigen\CXX11\src\util                                                                         |          4 |        722 |        148 |        178 |      1,048 |
| third_party\eigen\unsupported\Eigen\src                                                                                    |         81 |     15,655 |      6,024 |      3,262 |     24,941 |
| third_party\eigen\unsupported\Eigen\src\AutoDiff                                                                           |          3 |        734 |        160 |        167 |      1,061 |
| third_party\eigen\unsupported\Eigen\src\BVH                                                                                |          2 |        359 |         78 |         81 |        518 |
| third_party\eigen\unsupported\Eigen\src\Eigenvalues                                                                        |          1 |        411 |        273 |        107 |        791 |
| third_party\eigen\unsupported\Eigen\src\EulerAngles                                                                        |          2 |        313 |        266 |         83 |        662 |
| third_party\eigen\unsupported\Eigen\src\FFT                                                                                |          2 |        582 |         49 |         81 |        712 |
| third_party\eigen\unsupported\Eigen\src\IterativeSolvers                                                                   |          8 |      1,220 |        664 |        297 |      2,181 |
| third_party\eigen\unsupported\Eigen\src\KroneckerProduct                                                                   |          1 |        166 |        101 |         39 |        306 |
| third_party\eigen\unsupported\Eigen\src\LevenbergMarquardt                                                                 |          5 |        640 |        234 |        161 |      1,035 |
| third_party\eigen\unsupported\Eigen\src\MatrixFunctions                                                                    |          6 |      1,688 |        592 |        299 |      2,579 |
| third_party\eigen\unsupported\Eigen\src\MoreVectorization                                                                  |          1 |         54 |         18 |         24 |         96 |
| third_party\eigen\unsupported\Eigen\src\NonLinearOptimization                                                              |         11 |      1,476 |        320 |        362 |      2,158 |
| third_party\eigen\unsupported\Eigen\src\NumericalDiff                                                                      |          1 |         82 |         32 |         17 |        131 |
| third_party\eigen\unsupported\Eigen\src\Polynomials                                                                        |          3 |        508 |        238 |        108 |        854 |
| third_party\eigen\unsupported\Eigen\src\Skyline                                                                            |          6 |      1,422 |        268 |        385 |      2,075 |
| third_party\eigen\unsupported\Eigen\src\SparseExtra                                                                        |          6 |      1,682 |        520 |        287 |      2,489 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions                                                                   |         20 |      3,753 |      1,905 |        601 |      6,259 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions\arch                                                              |          7 |        458 |         11 |        119 |        588 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions\arch\AVX                                                          |          2 |         42 |          0 |         22 |         64 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions\arch\AVX512                                                       |          2 |         42 |          0 |         22 |         64 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions\arch\GPU                                                          |          1 |        302 |         11 |         57 |        370 |
| third_party\eigen\unsupported\Eigen\src\SpecialFunctions\arch\NEON                                                         |          2 |         72 |          0 |         18 |         90 |
| third_party\eigen\unsupported\Eigen\src\Splines                                                                            |          3 |        565 |        306 |        163 |      1,034 |
| third_party\eigen\unsupported\bench                                                                                        |          1 |         80 |         16 |         28 |        124 |
| third_party\eigen\unsupported\doc                                                                                          |         14 |        381 |         26 |        100 |        507 |
| third_party\eigen\unsupported\doc\examples                                                                                 |         14 |        381 |         26 |        100 |        507 |
| third_party\eigen\unsupported\doc\examples\SYCL                                                                            |          1 |         46 |          7 |         11 |         64 |
| third_party\eigen\unsupported\test                                                                                         |        131 |     27,764 |      2,888 |      5,580 |     36,232 |
| third_party\imgui                                                                                                          |        145 |     58,889 |     16,669 |      8,878 |     84,436 |
| third_party\imgui\.github                                                                                                  |          6 |        456 |         64 |        135 |        655 |
| third_party\imgui\.github\workflows                                                                                        |          3 |        423 |         64 |        112 |        599 |
| third_party\imgui\backends                                                                                                 |         37 |      7,215 |      1,598 |      1,155 |      9,968 |
| third_party\imgui\backends\vulkan                                                                                          |          3 |         34 |          4 |         10 |         48 |
| third_party\imgui\docs                                                                                                     |          5 |      1,263 |          0 |        429 |      1,692 |
| third_party\imgui\examples                                                                                                 |         79 |     13,677 |      6,666 |      1,808 |     22,151 |
| third_party\imgui\examples\example_allegro5                                                                                |          4 |        290 |         49 |         35 |        374 |
