"filename", "language", "CMake", "CMake Cache", "GLSL", "XML", "Markdown", "XSL", "YAML", "C++", "Python", "JSON", "CUDA C++", "Shell Script", "Batch", "JavaScript", "CSS", "C", "HTML", "HLSL", "Diff", "Makefile", "SQL", "pip requirements", "Properties", "Docker", "Objective-C++", "Groovy", "comment", "blank", "total"
"c:\Project\CraneEngine\Demo\SDL2_IMGUI_BASE\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Project\CraneEngine\Demo\WAVELETS\WAVELETS.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 97, 517
"c:\Project\CraneEngine\Demo\WAVELETS\WAVELETS.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 68
"c:\Project\CraneEngine\Demo\WAVELETS\WaveletsAmpl.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 73
"c:\Project\CraneEngine\Demo\WAVELETS\WaveletsAmpl.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Project\CraneEngine\Demo\WAVELETS\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 184
"c:\Project\CraneEngine\asset-baker\asset_main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 278, 1238
"c:\Project\CraneEngine\asset-baker\build\ALL_BUILD.vcxproj", "XML", 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181
"c:\Project\CraneEngine\asset-baker\build\CMakeCache.txt", "CMake Cache", 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 440
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CMakeCCompiler.cmake", "CMake", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 81
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CMakeCXXCompiler.cmake", "CMake", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 92
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CMakeRCCompiler.cmake", "CMake", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 130, 796
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CompilerIdCXX\CompilerIdCXX.vcxproj", "XML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 132, 808
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\CompilerIdC\CompilerIdC.vcxproj", "XML", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\Project\CraneEngine\asset-baker\build\CMakeFiles\3.21.1\VCTargetsPath.vcxproj", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Project\CraneEngine\asset-baker\build\ZERO_CHECK.vcxproj", "XML", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171
"c:\Project\CraneEngine\asset-baker\build\baker.vcxproj", "XML", 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381
"c:\Project\CraneEngine\asset-baker\build\cmake_install.cmake", "CMake", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Project\CraneEngine\assetlib\asset_loader.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 79
"c:\Project\CraneEngine\assetlib\asset_loader.h", "C++", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Project\CraneEngine\assetlib\material_asset.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 76
"c:\Project\CraneEngine\assetlib\material_asset.h", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Project\CraneEngine\assetlib\mesh_asset.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47, 178
"c:\Project\CraneEngine\assetlib\mesh_asset.h", "C++", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"c:\Project\CraneEngine\assetlib\prefab_asset.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25, 90
"c:\Project\CraneEngine\assetlib\prefab_asset.h", "C++", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 27
"c:\Project\CraneEngine\assetlib\texture_asset.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41, 166
"c:\Project\CraneEngine\assetlib\texture_asset.h", "C++", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Project\CraneEngine\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Project\CraneEngine\build\CMakeCache.txt", "CMake Cache", 0, 487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 628
"c:\Project\CraneEngine\build\CMakeFiles\3.21.3\CMakeCCompiler.cmake", "CMake", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 81
"c:\Project\CraneEngine\build\CMakeFiles\3.21.3\CMakeCXXCompiler.cmake", "CMake", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 92
"c:\Project\CraneEngine\build\CMakeFiles\3.21.3\CMakeRCCompiler.cmake", "CMake", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
